scenario_id,agent_id,object_type,selected_predictor,speed,heading_change,lateral_motion,cv_fde,kf_fde,hybrid_fde,oracle_best_fde,hybrid_gain_vs_cv,hybrid_gain_vs_kf
140117c81b4ef9fb,3052,pedestrian,CV,1.3480195147889689,7.48958856134166,0.80908203125,0.5928589167158683,0.84840152366163,0.5928589167158683,0.5928589167158683,0.0,0.2555426069457617
140117c81b4ef9fb,4621,cyclist,KF,0.053858424547453036,508.3979766712111,0.017578125,0.053269639638859057,0.06543772106502954,0.06543772106502954,0.053269639638859057,-0.012168081426170485,0.0
140117c81b4ef9fb,4622,cyclist,CV,3.4137060640280956,6.617856787546271,1.563720703125,2.6641087169949267,0.8736246210546099,2.6641087169949267,0.8736246210546099,0.0,-1.7904840959403168
140117c81b4ef9fb,4623,cyclist,KF,5.90860499094763,2.8990769767829456,4.919921875,2.193047540386901,3.0019000827848457,3.0019000827848457,2.193047540386901,-0.8088525423979447,0.0
16a8cd972084277a,4992,pedestrian,CV,1.258643942036029,21.45220139719547,1.109130859375,6.1780580138668455,7.065015433019391,6.1780580138668455,6.1780580138668455,0.0,0.8869574191525453
1870b2208fe4ade9,64,pedestrian,KF,0.22308374449749707,100.13018372824165,0.0972900390625,0.9690684344882828,0.7995901825937005,0.7995901825937005,0.7995901825937005,0.16947825189458232,0.0
1870b2208fe4ade9,65,pedestrian,CV,0.05906248357399808,32.60328607298159,0.042724609375,0.2846980526225353,0.2518419557597187,0.2846980526225353,0.2518419557597187,0.0,-0.0328560968628166
1870b2208fe4ade9,66,pedestrian,KF,0.19890373216627613,360.6583101349491,0.096923828125,0.19058236344649102,0.4011748235583304,0.4011748235583304,0.19058236344649102,-0.21059246011183938,0.0
1870b2208fe4ade9,71,pedestrian,CV,1.1830461462965076,15.27021488336911,0.8541259765625,2.4122945056433323,2.632549160854628,2.4122945056433323,2.4122945056433323,0.0,0.2202546552112956
1870b2208fe4ade9,141,cyclist,CV,2.8490832851096974,14.623406644141093,1.7965087890625,7.221708805803451,8.772683175615626,7.221708805803451,7.221708805803451,0.0,1.5509743698121747
1870b2208fe4ade9,142,cyclist,KF,6.171054443514166,2.3511450543026324,3.57373046875,2.548083558520439,5.8156832095403574,5.8156832095403574,2.548083558520439,-3.2675996510199186,0.0
1e41e4f90a5cae0a,424,pedestrian,CV,1.5522324015442313,31.84428564336567,0.127685546875,0.4145508531563631,1.3181097282704584,0.4145508531563631,0.4145508531563631,0.0,0.9035588751140953
1e41e4f90a5cae0a,566,cyclist,CV,2.2601525313855664,18.54998381160833,0.203857421875,3.775855233584244,4.587880986282703,3.775855233584244,3.775855233584244,0.0,0.8120257526984589
27384099b57a800b,5490,pedestrian,CV,1.6085705022563106,4.928882007465302,1.166015625,0.16876619737564202,0.8784916696384844,0.16876619737564202,0.16876619737564202,0.0,0.7097254722628423
27384099b57a800b,5491,pedestrian,KF,0.11965969664407489,159.48374780079237,0.046142578125,0.27459638043834483,0.266896925966136,0.266896925966136,0.266896925966136,0.007699454472208822,0.0
27384099b57a800b,5492,pedestrian,KF,1.502772663871102,265.76971466087605,0.547119140625,5.485647406264333,3.058764023223245,3.058764023223245,3.058764023223245,2.4268833830410874,0.0
27384099b57a800b,5493,pedestrian,CV,1.6353759198706097,7.363698636447812,1.183837890625,0.8023203077187486,1.8685316175499662,0.8023203077187486,0.8023203077187486,0.0,1.0662113098312176
2d84b1ab55ab81d3,1529,pedestrian,KF,0.05468927604504141,337.50500930814576,0.022430419921875,0.05557334324875727,0.046678541452935006,0.046678541452935006,0.046678541452935006,0.008894801795822263,0.0
2d84b1ab55ab81d3,1551,pedestrian,KF,1.7955500690931674,184.7495303640417,0.976287841796875,5.702931109008598,4.213384824346077,4.213384824346077,4.213384824346077,1.489546284662521,0.0
2d84b1ab55ab81d3,1621,cyclist,CV,2.722526372081012,6.366849081766674,0.7064208984375,11.740447676963537,12.585740154849539,11.740447676963537,11.740447676963537,0.0,0.8452924778860016
2db20518212cdfeb,5560,pedestrian,CV,1.6027598951934299,17.862530470885293,0.56640625,6.451628840328421,6.077095212741092,6.451628840328421,6.077095212741092,0.0,-0.3745336275873292
32275d7231509117,760,pedestrian,CV,1.284698084387631,7.83645729333081,0.78857421875,0.5353033773090352,1.3585659477042513,0.5353033773090352,0.5353033773090352,0.0,0.8232625703952161
371a64917512b4c9,7281,pedestrian,CV,0.8861491480092957,16.515166440706547,0.2325439453125,0.707756490764973,0.7664636490676092,0.707756490764973,0.707756490764973,0.0,0.058707158302636175
371a64917512b4c9,7282,pedestrian,CV,0.9868751731033995,11.46543371574212,0.1353759765625,0.7385252481578991,0.27927254612024177,0.7385252481578991,0.27927254612024177,0.0,-0.45925270203765733
371a64917512b4c9,7284,pedestrian,CV,1.47668486465126,9.727778748197212,0.75341796875,0.4401867211010872,0.5439427325491459,0.4401867211010872,0.4401867211010872,0.0,0.10375601144805874
371a64917512b4c9,7285,pedestrian,CV,0.9737735679760875,6.88477007783083,0.8717041015625,1.2485247805420028,1.6031874419264616,1.2485247805420028,1.2485247805420028,0.0,0.3546626613844588
371a64917512b4c9,7286,pedestrian,CV,1.1398634807572874,9.892069400621924,1.0048828125,0.6893475180486098,0.8966516508939156,0.6893475180486098,0.6893475180486098,0.0,0.2073041328453058
371a64917512b4c9,7287,pedestrian,CV,1.1145122773285105,16.444133301623985,0.9908447265625,0.2439525705101081,0.8497428246207113,0.2439525705101081,0.2439525705101081,0.0,0.6057902541106032
371a64917512b4c9,7288,pedestrian,CV,1.050881285670205,5.884994894396624,0.9405517578125,0.36575711441483777,1.0003632813849541,0.36575711441483777,0.36575711441483777,0.0,0.6346061669701164
371a64917512b4c9,7289,pedestrian,CV,1.0822946156149784,6.211504441108675,0.9566650390625,0.7332382681489127,0.35811703905252823,0.7332382681489127,0.35811703905252823,0.0,-0.37512122909638446
371a64917512b4c9,7290,pedestrian,CV,1.1004530712885723,13.671718534580037,0.9886474609375,0.35470330032317043,0.6636878865320464,0.35470330032317043,0.35470330032317043,0.0,0.3089845862088759
371a64917512b4c9,7291,pedestrian,CV,1.4061305399928508,4.375731908146053,0.0302734375,0.7538622253407659,0.4258237063286093,0.7538622253407659,0.4258237063286093,0.0,-0.3280385190121566
371a64917512b4c9,7292,pedestrian,CV,1.2388884731143661,7.224096440931411,0.0347900390625,0.11731768683402785,0.6953289270766042,0.11731768683402785,0.11731768683402785,0.0,0.5780112402425763
371a64917512b4c9,7293,pedestrian,KF,0.06363507877931687,213.4340559164847,0.0350341796875,0.8973567667572372,0.8625969842130364,0.8625969842130364,0.8625969842130364,0.03475978254420076,0.0
371a64917512b4c9,7294,pedestrian,CV,1.2982477339160896,8.696429010080525,1.0592041015625,1.2695609951926385,1.3786812608934895,1.2695609951926385,1.2695609951926385,0.0,0.10912026570085098
371a64917512b4c9,7295,pedestrian,CV,1.3578462321185085,6.348639198410749,0.142333984375,0.5165422215971092,0.36463508543811946,0.5165422215971092,0.36463508543811946,0.0,-0.1519071361589897
371a64917512b4c9,7296,pedestrian,CV,1.235217824551731,7.419506318343464,0.027099609375,0.05138910339316979,0.7822976444447295,0.05138910339316979,0.05138910339316979,0.0,0.7309085410515597
371a64917512b4c9,7299,pedestrian,CV,1.5238389908306862,6.993477685587193,0.7635498046875,0.6019565995793528,1.1136556682249663,0.6019565995793528,0.6019565995793528,0.0,0.5116990686456135
371a64917512b4c9,7300,pedestrian,CV,1.1984961937781562,2.250623844592805,0.009521484375,0.18952222126682905,0.6339350729124223,0.18952222126682905,0.18952222126682905,0.0,0.4444128516455933
371a64917512b4c9,7301,pedestrian,CV,1.1229333651694475,5.706457529404051,0.0125732421875,0.10353498462364598,0.7309923168340474,0.10353498462364598,0.10353498462364598,0.0,0.6274573322104015
371a64917512b4c9,7304,pedestrian,CV,1.36586852380189,4.756872319579228,0.0340576171875,0.39303636209374787,1.0290315423812113,0.39303636209374787,0.39303636209374787,0.0,0.6359951802874635
371a64917512b4c9,7305,pedestrian,KF,0.04383333475134076,168.7429233961456,0.02783203125,0.12021951191354033,0.10951070869699243,0.10951070869699243,0.10951070869699243,0.010708803216547894,0.0
371a64917512b4c9,7309,pedestrian,CV,1.267077561322944,3.7768136268471384,1.0794677734375,0.8669661838723735,1.4719607441646727,0.8669661838723735,0.8669661838723735,0.0,0.6049945602922993
371a64917512b4c9,7317,pedestrian,KF,0.050446915644927884,465.40669448572606,0.0238037109375,0.13365652593862123,0.08438476184099256,0.08438476184099256,0.08438476184099256,0.04927176409762868,0.0
371a64917512b4c9,7342,pedestrian,CV,1.4023589977336397,8.65469168407465,0.4190673828125,1.4581709643974907,2.0430969549218196,1.4581709643974907,1.4581709643974907,0.0,0.5849259905243289
3a0389c235a0eaa1,1156,pedestrian,CV,1.0066627573534528,14.239466436847575,0.0775604248046875,1.0236588849029202,1.2281460961783435,1.0236588849029202,1.0236588849029202,0.0,0.20448721127542324
3a79684106fe2fdf,1514,pedestrian,CV,1.6122650163455192,11.284438837390267,0.587554931640625,0.6375007850470888,0.45915544585637996,0.6375007850470888,0.45915544585637996,0.0,-0.17834533919070888
3a79684106fe2fdf,1515,pedestrian,KF,1.7867764744077592,663.012638328833,1.184722900390625,7.283398613164018,6.591581881080042,6.591581881080042,6.591581881080042,0.6918167320839759,0.0
3a7c04d2bd7807eb,4467,pedestrian,CV,1.3908096755443269,5.810455428210914,1.2125244140625,0.43571346811312534,1.000311760276766,0.43571346811312534,0.43571346811312534,0.0,0.5645982921636405
3a7c04d2bd7807eb,4470,pedestrian,CV,1.4483281996125745,6.404947027131279,1.277099609375,0.6868629938003257,0.5220451534122148,0.6868629938003257,0.5220451534122148,0.0,-0.16481784038811087
3b523aceb232aa6f,6911,pedestrian,CV,1.3080259805885592,14.836178473393105,0.09912109375,0.3041525131997664,0.8413370862614353,0.3041525131997664,0.3041525131997664,0.0,0.5371845730616689
3b523aceb232aa6f,6942,pedestrian,CV,1.1870998946157802,29.638164646481332,0.25732421875,0.7333057577156934,0.7040111414170717,0.7333057577156934,0.7040111414170717,0.0,-0.029294616298621734
3b523aceb232aa6f,6994,cyclist,KF,1.2795717322941165,43.406817339841766,1.1650390625,2.6647022888644276,1.966783560948323,1.966783560948323,1.966783560948323,0.6979187279161045,0.0
3f1599e8fa742bad,3785,pedestrian,CV,1.3506069956507454,15.832550043515104,0.625732421875,1.139835534683477,1.3810584870466653,1.139835534683477,1.139835534683477,0.0,0.24122295236318836
3f1599e8fa742bad,3786,pedestrian,CV,1.2552905877694527,16.612015111434435,0.5140380859375,0.6503031017966734,1.1471919907359664,0.6503031017966734,0.6503031017966734,0.0,0.49688888893929306
45856054906e76f1,243,cyclist,KF,6.582991995569129,2.434760715990599,0.2584228515625,0.5896396856981847,3.9439329535578573,3.9439329535578573,0.5896396856981847,-3.3542932678596724,0.0
4a013cdb54b260bf,1667,cyclist,CV,4.1440605130018024,23.4612240571294,3.59423828125,11.577634512395914,11.63865210534531,11.577634512395914,11.577634512395914,0.0,0.061017592949395905
4a6ce418c2519b1,3673,pedestrian,CV,1.1492015057811662,15.471130933735965,0.27734375,3.1134265377021175,3.4300409824153286,3.1134265377021175,3.1134265377021175,0.0,0.3166144447132111
4f4bbc55ef30c3ea,1467,pedestrian,KF,0.15697431959460983,248.13856352721518,0.0517578125,0.5680192891670119,0.5937834569463032,0.5937834569463032,0.5680192891670119,-0.025764167779291247,0.0
4f4bbc55ef30c3ea,1468,pedestrian,CV,1.5585324873254118,9.947171648713567,1.41015625,0.29081098757841595,0.7335005462183222,0.29081098757841595,0.29081098757841595,0.0,0.4426895586399062
4f7aa8ac2ff60093,3478,pedestrian,CV,0.9858822151021965,7.454298812748465,0.3583984375,0.5980816090928573,0.5794331754824877,0.5980816090928573,0.5794331754824877,0.0,-0.018648433610369608
4f7aa8ac2ff60093,3482,pedestrian,CV,0.8668966583355404,26.77492488864554,0.779296875,1.2004309358786862,0.6561613379003312,1.2004309358786862,0.6561613379003312,0.0,-0.5442695979783551
4f7aa8ac2ff60093,3491,pedestrian,CV,1.5762492635799985,7.990690836146336,1.40234375,1.4651856871017555,1.1083550616636735,1.4651856871017555,1.1083550616636735,0.0,-0.35683062543808197
4f7aa8ac2ff60093,3527,pedestrian,CV,0.9483524420388584,14.273428278174649,0.80859375,1.441775598908559,1.9483160355177696,1.441775598908559,1.441775598908559,0.0,0.5065404366092106
4f7aa8ac2ff60093,3534,pedestrian,KF,0.2676819142347714,56.038994785121645,0.236328125,3.174088404899847,3.3512474146337405,3.3512474146337405,3.174088404899847,-0.17715900973389376,0.0
4f7aa8ac2ff60093,3541,pedestrian,CV,1.0918888562489493,19.72896280754885,0.396484375,0.93993936643376,0.5879547006503416,0.93993936643376,0.5879547006503416,0.0,-0.35198466578341836
4f7aa8ac2ff60093,3545,pedestrian,KF,0.32064660552002716,103.8242995042614,0.244140625,0.8009835411416275,0.5725478082610977,0.5725478082610977,0.5725478082610977,0.22843573288052976,0.0
4f7aa8ac2ff60093,3548,pedestrian,CV,1.2412889087439845,9.188245782606783,0.033203125,0.9091466425569203,1.3344008971678092,0.9091466425569203,0.9091466425569203,0.0,0.42525425461088884
4f7aa8ac2ff60093,3557,pedestrian,KF,0.5283688894684846,50.78304734087865,0.0458984375,0.6924672375737777,0.720976232491197,0.720976232491197,0.6924672375737777,-0.028508994917419317,0.0
4f7aa8ac2ff60093,3569,pedestrian,KF,0.6685127594424092,60.33547738741229,0.1240234375,0.38598718900019396,0.3890650227914307,0.3890650227914307,0.38598718900019396,-0.003077833791236717,0.0
4f7aa8ac2ff60093,3579,pedestrian,CV,1.4466869774298068,13.332783570563823,0.1318359375,0.5644172885702723,0.9289938499559895,0.5644172885702723,0.5644172885702723,0.0,0.36457656138571726
4f7aa8ac2ff60093,3590,pedestrian,CV,1.340083967605017,11.018072031443522,0.2001953125,0.9276647469694581,1.1691316369218012,0.9276647469694581,0.9276647469694581,0.0,0.2414668899523431
50ddee410ccb016d,303,pedestrian,KF,0.199123510811351,95.02146104220186,0.049560546875,0.9397486354313931,0.8304577573165653,0.8304577573165653,0.8304577573165653,0.10929087811482774,0.0
50ddee410ccb016d,308,pedestrian,KF,0.060727663862631995,226.82483920823623,0.019287109375,0.170514777122586,0.17107308949816755,0.17107308949816755,0.170514777122586,-0.0005583123755815433,0.0
57e7012e0a98e3ec,4951,pedestrian,CV,1.4620288396396168,14.491333340153803,0.56451416015625,0.4917221541720147,0.5363690611015779,0.4917221541720147,0.4917221541720147,0.0,0.04464690692956319
57e7012e0a98e3ec,4966,pedestrian,KF,0.5405358182516142,100.88516896934509,0.46173095703125,2.0485730560949746,1.836689305457337,1.836689305457337,1.836689305457337,0.21188375063763765,0.0
5d6f6adb8f60a8e,4292,pedestrian,CV,1.2314397040044123,12.015886489432349,0.17327880859375,0.32922781597260903,0.7513608723796067,0.32922781597260903,0.32922781597260903,0.0,0.42213305640699766
5d6f6adb8f60a8e,4294,pedestrian,CV,1.1809877691020183,13.864637927271346,0.11651611328125,0.21974225282263518,0.9617571666072482,0.21974225282263518,0.21974225282263518,0.0,0.742014913784613
66d2f8859f26c401,1629,pedestrian,KF,0.05804011561130766,285.53946891300075,0.0247802734375,0.12296040765928001,0.045288799638238814,0.045288799638238814,0.045288799638238814,0.0776716080210412,0.0
66d2f8859f26c401,1630,pedestrian,KF,0.05018254673468189,378.2339118250874,0.0096435546875,0.04422646702848738,0.06932951017910939,0.06932951017910939,0.04422646702848738,-0.025103043150622013,0.0
66d2f8859f26c401,1631,pedestrian,KF,0.0800488258080168,285.4948485991386,0.0245361328125,0.03636990846495691,0.03898142221718652,0.03898142221718652,0.03636990846495691,-0.002611513752229608,0.0
66d2f8859f26c401,1632,pedestrian,KF,0.05093179584835923,280.4374753511182,0.02197265625,0.09285503086431103,0.06604683546663134,0.06604683546663134,0.06604683546663134,0.026808195397679688,0.0
66d2f8859f26c401,1634,pedestrian,CV,0.7779232537739846,10.93472911862042,0.224365234375,2.086440930137354,1.5694794377332475,2.086440930137354,1.5694794377332475,0.0,-0.5169614924041064
66d2f8859f26c401,1665,pedestrian,KF,0.13428608608357895,524.7932428784266,0.0325927734375,0.1269205527266836,0.07316701516635518,0.07316701516635518,0.07316701516635518,0.05375353756032841,0.0
66d2f8859f26c401,1679,pedestrian,CV,1.0536171211709617,8.542563517128507,0.914794921875,4.934097284469119,4.731245909270592,4.934097284469119,4.731245909270592,0.0,-0.20285137519852725
675906df18cc419a,1594,pedestrian,CV,1.297824840698664,7.515421482735299,1.11602783203125,0.9751068461773751,1.6843605341330057,0.9751068461773751,0.9751068461773751,0.0,0.7092536879556306
6ea1530b289aec91,1276,pedestrian,CV,1.3122780748473661,5.996098253710525,1.17138671875,0.2873578094367841,0.728675049632782,0.2873578094367841,0.2873578094367841,0.0,0.4413172401959979
6ea1530b289aec91,1277,pedestrian,CV,1.15234139170528,15.642246457208724,0.78955078125,1.1643381932396413,1.8006843909459187,1.1643381932396413,1.1643381932396413,0.0,0.6363461977062774
722e894fd915b4eb,1025,pedestrian,KF,0.2261966480648523,348.91531782178436,0.06005859375,0.5799967949142428,0.5132808728657652,0.5132808728657652,0.5132808728657652,0.06671592204847765,0.0
734c57bbbf191450,2186,pedestrian,CV,1.6416615814414248,7.048938302314794,1.481689453125,0.4745279626711796,0.9190378516128406,0.4745279626711796,0.4745279626711796,0.0,0.444509888941661
750f17fb3ac9783d,2355,pedestrian,CV,1.1827693339335,10.928230028021233,1.06298828125,0.519573564020125,1.2234494948652854,0.519573564020125,0.519573564020125,0.0,0.7038759308451604
750f17fb3ac9783d,2385,cyclist,KF,5.2256243084660285,13.988583428386127,4.50390625,7.689541371959292,7.622489863625064,7.622489863625064,7.622489863625064,0.06705150833422824,0.0
7a877066976dde0,1826,pedestrian,KF,0.19390864920627887,163.62873916293364,0.10107421875,3.4927862817389776,3.6324384033115846,3.6324384033115846,3.4927862817389776,-0.13965212157260698,0.0
7d040037cd4d968e,2632,pedestrian,KF,0.10859699969328782,241.48155255353592,0.052490234375,0.5911378921323543,0.5499492019230089,0.5499492019230089,0.5499492019230089,0.04118869020934546,0.0
7d1d2b26dd1e62e4,1512,pedestrian,CV,1.2215167538813734,26.12574972973587,0.82330322265625,0.4687339484193975,1.0592157509452897,0.4687339484193975,0.4687339484193975,0.0,0.5904818025258922
7efb8ffc5f5cb1b4,1217,pedestrian,KF,0.0523991853524112,352.95667909884224,0.01171875,0.06714075931466063,0.07634991465060818,0.07634991465060818,0.06714075931466063,-0.009209155335947558,0.0
7efb8ffc5f5cb1b4,1218,pedestrian,KF,0.05242012951411736,231.7329213268596,0.01513671875,0.047019245625406644,0.04044910324057832,0.04044910324057832,0.04044910324057832,0.006570142384828323,0.0
7efb8ffc5f5cb1b4,1220,pedestrian,KF,0.08973161629142873,402.1271016820979,0.0224609375,0.1245415974294015,0.10974628295874721,0.10974628295874721,0.10974628295874721,0.014795314470654297,0.0
7fcb65089a2bb672,2629,pedestrian,CV,1.2899540536846548,16.33697970445734,1.1513671875,7.769118810423818,6.947520224334426,7.769118810423818,6.947520224334426,0.0,-0.821598586089392
7fcb65089a2bb672,2630,pedestrian,CV,1.0117519198449045,17.33611980656181,0.82421875,1.0939750674972775,1.0416076535004104,1.0939750674972775,1.0416076535004104,0.0,-0.05236741399686706
7fcb65089a2bb672,2631,pedestrian,CV,0.7590692017112968,16.864342439784163,0.5986328125,0.6987635046478774,1.2357385944269355,0.6987635046478774,0.6987635046478774,0.0,0.5369750897790581
7fcb65089a2bb672,2633,pedestrian,KF,0.392779387551274,373.52141904913447,0.08984375,0.8098220664988318,0.3481298194086274,0.3481298194086274,0.3481298194086274,0.4616922470902044,0.0
7fcb65089a2bb672,2636,pedestrian,KF,0.34529468813337516,80.37528577211053,0.107421875,4.152499997938259,4.245147597976862,4.245147597976862,4.152499997938259,-0.09264760003860317,0.0
821e0118a0ef48b2,3937,pedestrian,CV,0.9604318568517032,7.360411777982119,0.474609375,3.435232253796924,3.7338549117301643,3.435232253796924,3.435232253796924,0.0,0.2986226579332403
